  Energy  39.57K_10T  39.59K_7T  39.575K_5T  39.59K_3T  19.29K_10T  19.295K_7T  19.3K_5T  19.31K_3T  9.775K_10T  9.78K_7T  9.795K_5T   9.8K_3T  4.995K_10T  5.02K_7T  5.055K_5T  5.04K_3T  2.68K_10T  2.62K_7T  2.64K_5T  2.63K_3T
 9310.99     -1.2916    -0.0452     -4.7843    -7.9264     17.3244     -4.1117  -10.6597     7.0780    -14.3531   -1.2721   -15.5471   -5.3389     -4.9680   -1.4175     4.3434   -2.6237    -9.5811   -8.1305    1.0315   -3.4104
 9319.66     -8.2012    -6.9527     -5.3693    14.2962     -5.8479    -10.2953  -10.4509    -5.6151     -0.3477   -4.1899     4.7982   -7.2889     -7.8099   -1.6654     3.8895   -1.5249     2.9986   -4.6418    0.4253   -6.7397
 9328.36     -4.0599     2.3564      2.6947    -0.3887     -4.6510      1.0714   -6.3470    -5.4280      3.4674   -9.1295     5.1255    1.2371     -6.1113    3.9009     0.3781   -4.5798     1.1626    4.2380   -2.7670    5.4154
 9337.07      2.1986     4.0965     -2.5951    -1.8524      1.8573     -4.4771   -2.4493    -4.5355     -5.6573   -4.6802     4.0597   -6.1245      0.0431   -8.8108    -0.1293  -12.4081    -4.6353    1.4502   -5.7940   -0.6794
 9345.79    -12.9328    -3.3486      1.7176    -3.9207     -8.8963     -7.8449    5.4359     2.9890     -2.5568   -5.7407    -2.9613    6.7431     -6.6147   -4.1380     0.0852   -6.0871    -1.3911   -5.2324   -0.5481   -9.8453
 9354.54     -3.9087     2.4052     -1.5921    -0.7488     -7.3487     -1.6919    1.1895     3.2401     -4.1165   -3.2623    -1.6297   -0.3782     -2.0749   -3.1326    -2.5747   -5.0087    -3.7978    7.9204    4.5447    1.8466
 9363.30      3.2324    -4.5606     -4.7078    -6.9895     -5.9790     -6.7324    1.8598    -0.5271     -7.5593    7.0492    -9.0312   -5.0294      5.2976   -0.6430    -0.2860   -0.7720    -3.7196    2.4371    1.5835   -4.3739
 9372.07      4.0067    -5.1664     -5.1112    -6.9892     -2.8799     -1.2023   -1.2016    -0.6588     -6.3284    0.9697     2.0825   -2.7284     -1.7340   -4.3294    -3.5414    3.8683    -2.2287    2.2832    0.4171   -1.0587
 9380.86     -6.7547    -3.9354     -7.1371    -4.0998     -2.0487      2.7486   10.0554    -0.5231    -11.1215   -2.7335    -4.7553    3.5477     -4.9461    4.0551    -2.8092    4.7622    -2.0495   -2.5175    0.1830   -5.2855
 9389.67     -1.9505    -3.3226      3.4523    -1.0932     -4.9404     -3.1178   -5.1694    -5.9923      7.5714   -4.3208    -7.7700   -2.0565      6.2712   -3.3245     2.7012    3.1928    -6.8261    4.6719    0.0922   -0.4904
 9398.50      1.2540    -1.4193      4.6584    -3.8254     -9.0696      2.6739   -4.4303     0.8919     -9.2752   -0.5010     5.7134    2.8369      7.1697    7.8875    -0.3326    3.3788    -2.3004   -5.5352   -4.4627   -6.1650
 9407.34     -2.6402   -13.7718      3.9821     2.9704     -4.1218      1.0381    4.2476    -4.2897     -5.8524   -7.2696     0.9715   -0.5323      0.5215    0.7039    -0.3532    0.6566     1.7912    3.2464   -2.4766   -4.6973
 9416.20     -2.0884    -1.5053     -1.1910    -7.6252      2.7579     -2.9430    1.5762     3.7963     -2.8419   -5.2211    -3.9915   -6.6474      0.0456   -2.5354    -1.2521    0.4124    -4.0130   -5.9389    0.9551    2.3808
 9425.07     -2.4246    -3.9409     -0.1903     2.3544     -8.5963     -0.6068   -0.0497    -0.7545      2.0727    0.3163     9.3406   -5.2527      0.9740    1.4271     1.6268   -4.4009   -11.6441   -2.1202   -2.9487    0.2888
 9433.96     -6.0391    -0.3608      0.4363    -5.2857     -5.6669     -3.0415   -1.1101    -5.8924     -3.6786   -7.4403    -5.3842    2.3960     -5.4383   -2.7560     7.2359    1.8144    -0.0029    6.6598    1.6491   -7.1457
 9442.87     -9.6624     0.7750      2.0347    -7.1495     -1.2477     -5.7557   -2.3370     1.0267      1.1105   -3.8029     3.0287   -0.1201      1.2698    2.7978    -0.8748   -4.0842    -0.5654   -6.3632   -0.4429    4.4223
 9451.80    -10.3663    -3.7839     -4.5468     0.0911    -10.2120     -4.0607   -3.3974    -3.5865     -0.6953   -2.3537     3.0940   -0.4855      4.0765    4.1853     2.3334    0.6847    -1.9784   -0.0977   -9.2076    1.4852
 9460.74     -3.0305    -6.1700     -8.0945    -3.2419     -3.1171     -1.0867    3.7167    -5.4714     -9.1024    5.8864     2.7333   -8.0818      0.8515   -2.7311    -5.5556   -5.1223     8.6045   -2.0088    8.2202    1.6203
 9469.70     -7.6252    -0.5713     -3.4372    -6.1396     -3.8336     -4.4104   -2.4909    -0.7576     -6.5899    4.2925    -5.0363    4.6983     -2.9275    7.8719    -0.3247   -5.5035     1.7577   -6.2260   -3.1441   -2.3765
 9478.67     -5.9742    -4.0143     -1.4122    -4.5773     -5.5150     -1.5760    3.8427    -2.1967     -2.3818    2.1229     3.9825    0.5950     -5.8041   -4.3891    -1.8300   -4.4972    -0.6077    0.2602   -3.3381    1.1684
 9487.67     -8.4297     1.8978     -1.0571    -5.1661     -2.2970     -5.1795   -4.7395   -11.2239     -6.1142   -5.4783     0.9418   -2.3457      2.3171    0.8484     2.9941   -2.4910    -1.0013   -1.3544   -2.4938    0.1889
 9496.68     -1.1208    -2.8795     -0.0710    -5.3615     -0.8205     -0.0924   -1.5324    -1.9142      0.9889    2.8698    -0.6817    0.9604     -2.6014    1.2123     2.0353   -4.5428     0.7631    4.9976   10.6280   -4.2961
